Model,Dataset,Epochs,Train time,Inference time,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
DANet,Adult,100,52.98904156000001,0.1889150600000007,0.3508306683248752,0.0195425179435473,0.8955845260149322,0.0055618338272897,0.8482235538373264,0.0045369433128677,0.8482235538373264,0.0045369433128677
DANet,CaliforniaHousing,100,577.64986944,0.2160120999999435,0.7136026070528876,0.0327315522207949,0.4639888977959122,0.0172710143934206,,,,
DecisionTree,Adult,100,0.08677678,0.00591772,0.416863769166639,0.0105669418904168,0.8999652594075958,0.0018880649073478,0.8542123464279154,0.0046520665786671,0.8542123464279154,0.0046520665786671
DecisionTree,CaliforniaHousing,100,0.10091664,0.0007042599999999,0.4056715824343785,0.0163770225781041,0.6951082591582055,0.0127272154120522,,,,
DecisionTree,Covertype,100,4.4594948400000005,0.0160904999999996,0.5724989190402352,0.004105445120622,0.9496527120389692,0.0013528443975819,0.7919130753961297,0.0011414691428873,0.7865341350441708,0.0019071885074232
DeepFM,Adult,100,35.03944068,0.0435678599999988,0.3129320863787643,0.0064725339077041,0.9111260434118668,0.0039942563741487,0.8550415847571535,0.004912011558691,0.8550415847571535,0.004912011558691
DeepFM,CaliforniaHousing,100,107.4732876,0.0683730199999786,0.2807861937712311,0.0156466537664011,0.7891024447232896,0.0091297874483801,,,,
DeepGBM,CaliforniaHousing,100,51.69466178,0.0697462599999937,0.8502093203428439,0.1846753504363903,0.359198000460469,0.1481446372143338,,,,
LightGBM,Adult,100,9.432274520000002,0.0961117399999995,0.3048457057301493,0.0057123062155882,0.9205685569301766,0.0041521133187626,0.867019132213743,0.0052181635921922,0.867019132213743,0.0052181635921922
LightGBM,CaliforniaHousing,100,1.9994554399999995,0.0276194999999999,0.2216353336020169,0.0124624199945447,0.833524908399341,0.0075850855417117,,,,
LightGBM,Covertype,100,153.61686816000002,9.229278939999976,0.4023767398216124,0.0006563792775995,0.9857477535469424,9.274933346242591e-05,0.8405729994759366,0.0007909817231258,0.8396349104364866,0.000801852066363
LinearModel,CaliforniaHousing,100,0.02214448,0.0012216599999999,0.5285279717621754,0.0178815867046471,0.602919371145164,0.0088497621207923,,,,
LinearModel,Covertype,100,0.2390628400000002,0.1600900999999999,0.6299173063921631,0.0008438375592831,0.9281864784361964,0.000275552051126,0.7242587064372075,0.0005709901686487,0.7140724039600523,0.0005077074121401
LinearModel,Adult,100,0.8026922000000001,0.0085909200000003,0.3845299809782179,0.0058260691054719,0.8532189684959837,0.0044955291770647,0.8238692478961941,0.0035006313864474,0.8238692478961941,0.0035006313864474
MLP,Covertype,100,44.46427058,0.1575672799999992,8.561078084197812,0.7843055381265893,0.5061245135771002,0.0127913793436418,0.462998958382869,0.049196248645995,0.2946827746444773,0.049922918886782
MLP,Adult,100,3.2616783,0.0486819,0.3364492941492226,0.0089454954849993,0.8943259330350921,0.0062542473364337,0.8434326442559975,0.0057829030845784,0.8434326442559975,0.0057829030845784
MLP,CaliforniaHousing,100,44.588059220000005,0.0831713399999998,0.2628602459385866,0.0124365599636094,0.8025287131688936,0.0075297859933677,,,,
ModelTree,Adult,100,10.3966709,0.332354699999998,0.3239803116913776,0.0044912851904965,0.9014361934065008,0.0028267732526185,0.8470564116522201,0.0027863743463206,0.8470564116522201,0.0027863743463206
ModelTree,CaliforniaHousing,100,7.80225718,0.039872,0.3848514565677249,0.0420537293334634,0.7113028059883264,0.0252402527480384,,,,
NODE,CaliforniaHousing,100,959.49336112,0.8363255799999934,0.2685411749195011,0.0100994746935346,0.7981861045552288,0.0075125699125971,,,,
RLN,CaliforniaHousing,100,2550.60681414,3.9001815599997824,0.7590133762469208,0.4666374711169597,0.4294371101556811,0.3509635339303112,,,,
RLN,Covertype,100,6109.0968898,160.10194788000007,0.6964393143134295,0.09935515903254,0.835528382956608,0.0549935586197384,0.7326491694417201,0.0343343464028292,0.7067904759651666,0.0390895218332094
RLN,Adult,100,331.03004252,11.470501019999984,0.5872131204574855,0.0424651237211244,0.5321864060747368,0.0613175568561229,0.7590368827644276,0.0002271771295111,0.7590368827644276,0.0002271771295111
RandomForest,Adult,100,2.94207802,0.1508369799999997,0.3000624993059689,0.0067188842804347,0.9176449050182534,0.0049094387487463,0.8618902951986784,0.005158468474892,0.8618902951986784,0.005158468474892
RandomForest,CaliforniaHousing,100,0.8518771399999998,0.0133941800000002,0.2955686089823416,0.0099612455335344,0.7779181523810447,0.0059794492780035,,,,
RandomForest,Covertype,100,82.98886062,1.3313346200000011,0.5755678127044709,0.0092075146761009,0.9617530063012496,0.0009290745833949,0.7802713206117632,0.0034998980787512,0.7714724277583788,0.0041194102378078
SAINT,Adult,100,692.1380386600001,0.1962191200001143,0.3082692825453915,0.0067149781113261,0.912962773034706,0.003907945334879,0.8563622188622189,0.0057518292007995,0.8563622188622189,0.0057518292007995
SAINT,CaliforniaHousing,100,1351.8442929199998,1.021237859999974,0.2453986322009692,0.0118082867916561,0.8155091887809455,0.0103335522568121,,,,
STG,Covertype,100,36.877954800000005,0.708758060000001,1.5306391169387945,0.072093297485268,0.6485154461193432,0.0143348303225431,0.4994216281381381,0.0520866655217208,0.5029044805286181,0.0484673545034459
STG,Adult,100,1.0731440799999996,0.0396806000000001,0.5499116631677364,0.002896738637131,0.5898908769819381,0.0524213559239238,0.7591904454179904,4.662759153779561e-05,0.7591904454179904,4.662759153779561e-05
STG,CaliforniaHousing,100,45.85630168,0.0269383000000019,0.4160072518484423,0.0144363927116581,0.6874847814263713,0.0060410972480661,,,,
